epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,246.756,0.85913,0.62806,1.12406,0.97361,1,0.995,0.69033,1.05431,0.63872,1.14454,0.0004358,0.0004358,0.0004358
81,249.578,0.83291,0.56498,1.12748,0.97361,1,0.995,0.69033,1.05431,0.63872,1.14454,0.000416,0.000416,0.000416
82,251.985,0.83064,0.64863,1.24303,0.97458,1,0.995,0.67702,0.96802,0.63432,1.15907,0.0003962,0.0003962,0.0003962
83,256.754,0.93575,0.60718,1.19462,0.96983,1,0.995,0.77366,0.92248,0.60551,1.12199,0.0003764,0.0003764,0.0003764
84,263.121,0.8667,0.60111,1.15186,0.97699,1,0.995,0.79733,0.83958,0.54188,1.07503,0.0003566,0.0003566,0.0003566
85,269.745,0.83043,0.59135,1.14845,0.97699,1,0.995,0.79733,0.83958,0.54188,1.07503,0.0003368,0.0003368,0.0003368
86,278.039,0.76412,0.53924,1.06223,0.98244,1,0.995,0.80803,0.86811,0.55641,1.09418,0.000317,0.000317,0.000317
87,283.923,0.77846,0.56883,1.10464,0.98349,1,0.995,0.79745,0.91757,0.52964,1.11562,0.0002972,0.0002972,0.0002972
88,289.452,0.78286,0.51038,1.13131,0.98363,1,0.995,0.78929,0.96642,0.57546,1.12432,0.0002774,0.0002774,0.0002774
89,292.322,0.91979,0.57969,1.21691,0.98363,1,0.995,0.78929,0.96642,0.57546,1.12432,0.0002576,0.0002576,0.0002576
90,294.939,0.81224,0.6113,1.19031,0.98141,1,0.995,0.78936,1.02338,0.57339,1.13347,0.0002378,0.0002378,0.0002378
91,303.048,0.66986,0.45725,1.05193,0.97808,1,0.995,0.69818,1.05937,0.64273,1.18246,0.000218,0.000218,0.000218
92,305.644,0.69241,0.48837,1.08284,0.97559,1,0.995,0.73112,1.04048,0.64341,1.17526,0.0001982,0.0001982,0.0001982
93,308.146,0.66528,0.52718,1.03017,0.97559,1,0.995,0.73112,1.04048,0.64341,1.17526,0.0001784,0.0001784,0.0001784
94,313.335,0.66578,0.45983,1.0441,0.9738,1,0.995,0.76573,0.97014,0.5959,1.13908,0.0001586,0.0001586,0.0001586
95,315.685,0.68866,0.49421,1.1046,0.97339,1,0.995,0.76573,0.91194,0.61024,1.11664,0.0001388,0.0001388,0.0001388
96,319.575,0.60537,0.44402,1.02781,0.97795,1,0.995,0.76589,0.88968,0.59209,1.10507,0.000119,0.000119,0.000119
97,325.327,0.54225,0.41382,0.94176,0.97795,1,0.995,0.76589,0.88968,0.59209,1.10507,9.92e-05,9.92e-05,9.92e-05
98,328.297,0.63249,0.46863,1.02653,0.97865,1,0.995,0.76573,0.89361,0.61396,1.10915,7.94e-05,7.94e-05,7.94e-05
99,330.735,0.611,0.46076,1.10771,0.97977,1,0.995,0.7658,0.90294,0.61086,1.1191,5.96e-05,5.96e-05,5.96e-05
100,334.304,0.63648,0.48045,1.0701,0.98094,1,0.995,0.76573,0.9216,0.62039,1.13253,3.98e-05,3.98e-05,3.98e-05
